城市|职位名称|公司名称|薪资|地点|经验|学历|公司性质
上海|Python开发|软通动力信息技术(集团)股份有限公司|1.1-1.6万|上海·浦东·金桥|1-3年|本科|民营
天津|python后端开发工程师|天津蔓成科技有限公司|1-1.8万|天津·东丽·华明|1-3年|本科|民营
天津|python开发工程师|天津佳软兴业科技有限公司|6000-10000元|天津·河东·向阳楼|1-3年|大专|民营
天津|后端Python开发工程师|北京易才人力资源顾问有限公司|1.8-2.5万|天津·南开·学府|3-5年|本科|民营
天津|python开发|北京运华科技发展有限公司|1.4-1.8万|天津·西青·精武镇|3-5年|本科|民营
天津|python全栈工程师|天津小微之友科技服务有限公司|8000-11000元|天津·河东·春华|3-5年|本科|民营
天津|Python开发（短期6个月）|北京易才人力资源顾问有限公司|2-2.5万|天津·南开·学府|3-5年|本科|民营
天津|Python开发实习生|天津市点掌科技有限公司|150-160元/天|天津·西青·精武镇|经验不限|本科|民营
天津|python后端开发工程师|天津德尔塔科技有限公司|6000-12000元|天津·西青·西营门|1-3年|本科|民营
天津|Python工程师（短期半年）|北京易才人力资源顾问有限公司|2-2.5万|天津·南开·学府|3-5年|本科|民营
天津|Python（可接受应届生）|北京融创控股集团有限公司|5000-8000元|天津·南开·王顶堤|1-3年|本科|民营
天津|Python开发工程师|天津成琛科技有限公司|7000-13000元·13薪|天津·西青·西营门|经验不限|本科|民营
天津|后端Python开发工程师|北京易才人力资源顾问有限公司|1.8-2.8万|天津·南开·学府|3-5年|大专|民营
天津|爬虫Python开发工程师|美通社|9000-14000元|天津·和平·劝业场|经验不限|本科|民营
天津|大模型智能体Python开发工程师（初级）|天津数字经济产业集团有限公司|7000-11000元|天津·河西·尖山|1-3年|本科|国企
天津|python开发工程师|天津佳软兴业科技有限公司|9000-15000元|天津·河东·向阳楼|3-5年|学历不限|民营
天津|python后端开发工程师|天津康铂智联科技有限公司|1.2-1.5万|天津·津南·八里台|1-3年|本科|民营
天津|python后端开发工程师|北京凯恩帝数控技术有限责任公司|9000-15000元|天津·西青·精武镇|经验不限|本科|民营
天津|python全栈工程师|天津国环节能科技有限公司|1.2-1.8万|天津·河东·东新|5-10年|本科|民营
天津|python实习生|北京锐达仪表有限公司科技中心|200-250元/天|天津·武清·运河西|经验不限|硕士|民营
天津|Python 应用工程师|中煤科工集团智能矿山有限公司|1.2-1.5万·14薪|天津·河西·陈塘庄|1-3年|本科|国企
天津|Python 工程师|北京侏罗纪信息科技有限公司|1-1.8万|天津·南开·广开|3-5年|本科|民营
天津|Python开发|北京万古恒信科技有限公司|1.2-1.6万|天津·和平·南市|经验不限|本科|民营
天津|Python开发工程师|天津华燕医疗科技有限公司|1.1-2万|天津·东丽·万新|1-3年|本科|民营
天津|总公司数据开发工程师（信息技术部）|渤海财产保险股份有限公司|7000-14000元|天津·西青·西营门|1-3年|本科|民营
天津|测试工程师|北京阳禾雷格科技有限公司|6000-9000元·13薪|天津·和平·小白楼|经验不限|本科|民营
天津|数据挖掘工程师 / 高级数据分析师（模型与数据治理方向）|中汽数据有限公司|150-200元/天|天津·东丽·新立|经验不限|本科|国企
